word	label	subtype
underlying	R	
understand	S	attitude_verb
understandable	S	evaluative
understanding	R	
understands	S	attitude_verb
understated	S	evaluative
understatement	S	evaluative
undertaken	R	
undertaking	R	
undoubtedly	S	epistemic
uniform	R	
unintended	R	
union	R	
unique	S	evaluative
uniquely	S	evaluative
unit	R	
united	R	
units	R	
universal	R	
universities	R	
university	R	
unless	F	
unlike	F	
unlikely	S	epistemic
unloading	R	
unnecessary	S	evaluative
unparalleled	S	evaluative
unprecedented	S	evaluative
until	F	
unusual	S	evaluative
up	F	
upcoming	R	
update	R	
updated	R	
updates	R	
uphold	R	
upload	R	
upon	F	
upper	R	
upward	R	
urban	R	
url	X	
us	F	
usa	R	
usb	R	
use	R	
used	R	
useful	S	evaluative
user	R	
users	R	
uses	R	
using	R	
usps	R	
usual	R	
usually	S	epistemic
utilised	R	
utilities	R	
utility	R	
utilize	R	
utilized	R	
utilizing	R	
utterly	S	degree
va	R	
vacuum	R	
validity	R	
valley	R	
valuable	S	evaluative
value	R	
values	R	
valve	R	
variable	R	
varied	R	
variety	R	
various	R	
vary	R	
varying	R	
vector	R	
vehicle	R	
ventilation	R	
verified	R	
verify	R	
vermont	R	
very	S	degree
veterans	R	
via	F	
viable	S	evaluative
vibe	R	
vibrant	S	evaluative
vice	R	
victory	R	
vide	X	
video	R	
videos	R	
view	R	
views	R	
vigilant	R	
vik	R	
vile	S	evaluative
vip	R	
viral	R	
virtual	R	
vision	R	
visit	R	
visited	R	
visits	R	
vistas	R	
vital	S	evaluative
vividly	S	evaluative
vladimir	R	
voice	R	
voices	R	
volume	R	
volumes	R	
vs	F	
vulnerable	R	
wagon	R	
wait	R	
waiting	R	
wake	R	
wales	R	
walk	R	
walked	R	
walking	R	
wall	R	
walnut	R	
walnuts	R	
wanna	S	attitude_verb
want	S	attitude_verb
wanted	S	attitude_verb
war	R	
warehouse	R	
warm	R	
wars	R	
was	F	
washington	R	
wasn't	F	
waste	R	
watch	R	
watching	R	
water	R	
way	R	
ways	R	
we	F	
we'd	F	
we'll	F	
we're	F	
we've	F	
wealth	R	
wearing	R	
weather	R	
web	R	
website	R	
wedding	R	
wednesday	R	
wee	S	degree
week	R	
weekend	R	
weeks	R	
weight	R	
weird	S	evaluative
welcome	S	interjection
welcomed	S	interjection
well	S	evaluative
wellness	R	
went	R	
were	F	
west	R	
western	R	
westminster	R	
wet	R	
what	F	
what's	F	
whatever	F	
wheat	R	
when	F	
whenever	F	
where	F	
whereas	F	
whether	F	
which	F	
while	F	
whilst	F	
whisk	R	
white	R	
who	F	
who've	F	
whole	F	
whom	F	
whopping	S	degree
whose	F	
why	F	
wi	X	
wide	R	
widely	R	
wiki	R	
wikia	R	
wild	R	
wildlife	R	
will	F	
william	R	
williams	R	
win	R	
winchester	R	
wind	R	
window	R	
windows	R	
wine	R	
winning	R	
winter	R	
wiping	R	
wireless	R	
with	F	
within	F	
without	F	
withstand	R	
witnessing	R	
woman	R	
women	R	
women's	R	
won	R	
won't	F	
wonderful	S	evaluative
wonders	S	attitude_verb
word	R	
words	R	
wore	R	
work	R	
worked	R	
workforce	R	
working	R	
workout	R	
works	R	
workshops	R	
world	R	
world's	R	
worry	S	attitude_verb
worst	S	evaluative
worth	S	evaluative
would	F	
wouldn	F	
wouldn't	F	
wrap	R	
wrestling	R	
write	R	
writes	R	
writing	R	
written	R	
wrong	S	evaluative
wrongful	R	
wrote	R	
wwii	R	
www	X	
xbox	R	
xerox	R	
yards	R	
ye	F	
yea	S	interjection
yeah	S	interjection
year	R	
years	R	
yellow	R	
yep	S	interjection
yes	S	interjection
yesterday	R	
yet	F	
yield	R	
ymru	X	
yoga	R	
york	R	
you	F	
you'd	F	
you'll	F	
you're	F	
you've	F	
young	R	
youngster	R	
your	F	
yourself	F	
youth	R	
youthful	R	
youve	F	
zealand	R	
zero	R	
zip	R	
’s	F	
